"","id","dam"
"285","BF673","BF484"
"286","BF691","BF535"
"287","BF696","BF484"
"288","DM243","DF190"
"289","DM244","DF201"
"290","HF303","HF248"
"291","TF435","TF297"
"292","BF680","BF484"
"293","BM692","BF484"
"294","BM704","BF535"
"295","HF286","HF178"
"296","HF305","HF178"
"297","TM427","TF297"
"298","BF475","BF426"
"299","BP488","BF426"
"300","BF494","BF426"
"301","BM520","BF473"
"302","BF521","BF473"
"303","BM543","BF426"
"304","HM238","HF125"
"305","BF560","BF473"
"306","HF240","HF219"
"307","BF581","BF523"
"308","BF585","BF535"
"309","BF593","BF439"
"310","BM591","BF473"
"311","GM111","GF092"
"312","GM119","GF096"
"313","BF608","BF569"
"314","BF616","BF473"
"315","BF617","BF561"
"316","BF624","BF473"
"317","BM615","BF566"
"318","GF126","GF092"
"319","BP631","BF566"
"320","BF640","BF473"
"321","GM128","GF096"
"322","BF671","BF561"
"323","BF674","BF589"
"324","BM654","BF473"
"325","BM697","BF589"
"326","GF135","GF092"
"327","GF139","GF096"
"328","GM140","GF092"
"329","HF294","HF178"
"330","TF440","TF299"
"331","TM430","TF285"
"332","TM431","TF322"
"333","TM436","TF298"
"334","BF708","BF561"
"335","BM705","BF589"
"336","BM706","BF561"
"337","HF260","HF240"
"338","BP629","BF593"
"339","BP630","BF593"
"340","BM662","BF593"
"341","BM666","BF627"
"342","BM670","BF627"
"343","BM683","BF593"
"344","BM710","BF593"
"345","BM719","BF627"
"346","HF299","HF240"
"347","BF712","BF659"
"348","BM707","BF669"
"349","BM715","BF674"
"350","HM265","HF242"
"351","HM292","HF260"
